# WD Blue SN5000 2TB /dev/nvme1n1 blocking read T(s), O_DIRECT raw
# size_bytes,ncmd,floor_us,p50rr_us
991232,1,252.84,380.14
995328,1,252.94,379.56
999424,1,253.69,378.26
1003520,1,254.59,379.93
1007616,1,254.24,383.00
1011712,1,253.53,381.38
1015808,1,254.70,381.15
1019904,1,252.99,383.44
1024000,1,255.56,380.84
1028096,1,256.31,380.50
1032192,1,255.72,384.11
1036288,1,253.85,389.61
1040384,1,257.21,385.98
1044480,1,261.27,384.19
1048576,1,256.88,378.03
2097152,2,454.40,635.91
4194304,4,854.43,993.04
8388608,8,1660.84,1820.08
16777216,16,3268.85,3444.26
33554432,32,6494.39,6845.43
